text,intent
Phòng quá nhỏ. Bữa sáng nghèo nàn. Không đáng tiền.,negative
Giá cả hợp lý. Homestay sạch sẽ.,positive
Check-in chậm. Rất thất vọng. Nhân viên lạnh nhạt.,negative
Chắc chắn sẽ quay lại. Rất tốt.,positive
Không giống hình ảnh. Vị trí xa trung tâm.,negative
Chắc chắn sẽ quay lại. Thái độ nhân viên rất tốt. Rất tốt. Rất hài lòng.,positive
Giá quá cao. Rất thất vọng. Không đáng tiền. Khó chịu.,negative
Không đáng tiền. Không quay lại lần sau. Bữa sáng nghèo nàn. Vị trí xa trung tâm.,negative
Thái độ nhân viên rất tốt. Không gian yên tĩnh. Phòng ốc đẹp. Tuyệt vời.,positive
Check-in chậm. Không giống hình ảnh. Rất thất vọng.,negative
Rất tốt. Phòng ốc đẹp. Vị trí thuận tiện. Giá cả hợp lý.,positive
Nhân viên lạnh nhạt. Không giống hình ảnh.,negative
Nhân viên lạnh nhạt. Cực kỳ tệ. Khó chịu. Check-in chậm.,negative
Rất thất vọng. Vị trí xa trung tâm. Dịch vụ kém. Phòng quá nhỏ.,negative
Thiếu tiện nghi. Kém chất lượng. Giá quá cao.,negative
Homestay sạch sẽ. Không gian yên tĩnh. Tuyệt vời. Đáng đồng tiền.,positive
Check-in nhanh chóng. Thái độ nhân viên rất tốt. Rất tốt. Chắc chắn sẽ quay lại.,positive
Nhân viên lạnh nhạt. Vị trí xa trung tâm. Thái độ nhân viên không tốt. Cực kỳ tệ.,negative
Nhân viên lạnh nhạt. Vị trí xa trung tâm.,negative
Nhân viên lạnh nhạt. Phòng bẩn.,negative
Trang thiết bị hiện đại. Chắc chắn sẽ quay lại.,positive
Vị trí xa trung tâm. Rất thất vọng. Khó chịu.,negative
Cực kỳ tệ. Thiếu tiện nghi. Phòng bẩn. Nhân viên lạnh nhạt.,negative
Trang thiết bị hiện đại. Đáng đồng tiền. Phục vụ chu đáo.,positive
Ăn sáng ngon. Vị trí thuận tiện. Tuyệt vời. Phục vụ chu đáo.,positive
Nhân viên lạnh nhạt. Phòng quá nhỏ. Dịch vụ kém. Phòng có mùi khó chịu.,negative
Rất hài lòng. Trang thiết bị hiện đại.,positive
Chắc chắn sẽ quay lại. Sạch sẽ và tiện nghi. Nhân viên thân thiện.,positive
Thái độ nhân viên không tốt. Phòng quá nhỏ. Giá quá cao.,negative
Kém chất lượng. Cực kỳ tệ.,negative
Giá cả hợp lý. Vị trí thuận tiện.,positive
Không đáng tiền. Dịch vụ kém.,negative
Kém chất lượng. Không quay lại lần sau. Phòng có mùi khó chịu.,negative
Sạch sẽ và tiện nghi. Phòng ốc đẹp. Check-in nhanh chóng. Đáng đồng tiền.,positive
Dịch vụ tuyệt vời. Vị trí thuận tiện.,positive
Không gian yên tĩnh. Nhân viên thân thiện.,positive
Tuyệt vời. Giá cả hợp lý.,positive
Trang thiết bị hiện đại. Ăn sáng ngon. Check-in nhanh chóng. Homestay sạch sẽ.,positive
Bữa sáng nghèo nàn. Dịch vụ kém. Vị trí xa trung tâm. Cực kỳ tệ.,negative
Vị trí thuận tiện. Đáng đồng tiền. Sạch sẽ và tiện nghi.,positive
Thiếu tiện nghi. Cực kỳ tệ. Không giống hình ảnh. Khó chịu.,negative
Thiếu tiện nghi. Check-in chậm. Phòng quá nhỏ.,negative
Thiếu tiện nghi. Khó chịu.,negative
Phòng bẩn. Không quay lại lần sau. Nhân viên lạnh nhạt.,negative
Phòng ốc đẹp. Rất hài lòng. Chắc chắn sẽ quay lại. Vị trí thuận tiện.,positive
Rất hài lòng. Vị trí thuận tiện. Đáng đồng tiền.,positive
Chắc chắn sẽ quay lại. Đáng đồng tiền. Rất tốt. Trang thiết bị hiện đại.,positive
Sạch sẽ và tiện nghi. Không gian yên tĩnh.,positive
Rất thất vọng. Khó chịu. Phòng quá nhỏ. Dịch vụ kém.,negative
Giá cả hợp lý. Ăn sáng ngon.,positive
Ăn sáng ngon. Sạch sẽ và tiện nghi. Rất hài lòng. Chắc chắn sẽ quay lại.,positive
Phòng có mùi khó chịu. Rất thất vọng.,negative
Phòng ốc đẹp. Rất hài lòng.,positive
Thiếu tiện nghi. Dịch vụ kém. Giá quá cao.,negative
Vị trí xa trung tâm. Thiếu tiện nghi.,negative
Dịch vụ kém. Phòng quá nhỏ. Phòng bẩn. Thiếu tiện nghi.,negative
Tuyệt vời. Phòng ốc đẹp. Dịch vụ tuyệt vời. Rất tốt.,positive
Phục vụ chu đáo. Không gian yên tĩnh.,positive
"Vị trí xa trung tâm, khó di chuyển, giá cao.",negative
Vị trí xa trung tâm. Phòng có mùi khó chịu. Khó chịu.,negative
Khó chịu. Check-in chậm.,negative
Thiếu tiện nghi. Thái độ nhân viên không tốt. Rất thất vọng.,negative
Khó chịu. Phòng có mùi khó chịu.,negative
Phòng ốc đẹp. Rất hài lòng. Rất tốt.,positive
Giá cả hợp lý. Không gian yên tĩnh. Phục vụ chu đáo. Vị trí thuận tiện.,positive
Không giống hình ảnh. Phòng có mùi khó chịu.,negative
Không gian yên tĩnh. Phòng ốc đẹp. Chắc chắn sẽ quay lại. Giá cả hợp lý.,positive
Cực kỳ tệ. Không quay lại lần sau. Dịch vụ kém.,negative
Nhân viên lạnh nhạt. Phòng quá nhỏ. Phòng có mùi khó chịu. Khó chịu.,negative
Phòng ốc đẹp. Homestay sạch sẽ.,positive
Cực kỳ tệ. Không đáng tiền. Rất thất vọng.,negative
Ăn sáng ngon. Đáng đồng tiền. Rất tốt.,positive
Bữa sáng nghèo nàn. Dịch vụ kém. Khó chịu. Không đáng tiền.,negative
Phòng quá nhỏ. Không giống hình ảnh. Vị trí xa trung tâm.,negative
Thái độ nhân viên không tốt. Nhân viên lạnh nhạt. Không giống hình ảnh. Phòng quá nhỏ.,negative
Vị trí xa trung tâm. Thái độ nhân viên không tốt.,negative
Tuyệt vời. Rất hài lòng.,positive
Kém chất lượng. Không quay lại lần sau. Không giống hình ảnh.,negative
Rất thất vọng. Phòng có mùi khó chịu. Kém chất lượng. Không giống hình ảnh.,negative
Trang thiết bị hiện đại. Check-in nhanh chóng. Đáng đồng tiền. Chắc chắn sẽ quay lại.,positive
Phòng quá nhỏ. Kém chất lượng. Thái độ nhân viên không tốt. Giá quá cao.,negative
Phòng có mùi khó chịu. Không đáng tiền. Không giống hình ảnh.,negative
Sạch sẽ và tiện nghi. Nhân viên thân thiện. Dịch vụ tuyệt vời.,positive
"Homestay không có wifi, không thể làm việc.",negative
Không quay lại lần sau. Khó chịu.,negative
Thái độ nhân viên rất tốt. Dịch vụ tuyệt vời. Ăn sáng ngon. Rất tốt.,positive
Kém chất lượng. Vị trí xa trung tâm. Rất thất vọng. Bữa sáng nghèo nàn.,negative
Rất tốt. Dịch vụ tuyệt vời.,positive
Check-in chậm. Dịch vụ kém. Giá quá cao. Cực kỳ tệ.,negative
Chắc chắn sẽ quay lại. Ăn sáng ngon. Dịch vụ tuyệt vời.,positive
Dịch vụ kém. Không đáng tiền. Khó chịu.,negative
Rất thất vọng. Kém chất lượng. Dịch vụ kém.,negative
Check-in chậm. Khó chịu. Kém chất lượng. Cực kỳ tệ.,negative
Thái độ nhân viên rất tốt. Rất hài lòng. Rất tốt.,positive
Vị trí xa trung tâm. Thiếu tiện nghi. Dịch vụ kém.,negative
Vị trí xa trung tâm. Check-in chậm.,negative
Không đáng tiền. Phòng có mùi khó chịu.,negative
Giá cả hợp lý. Phòng ốc đẹp. Homestay sạch sẽ.,positive
Thái độ nhân viên không tốt. Rất thất vọng. Thiếu tiện nghi. Không đáng tiền.,negative
Check-in nhanh chóng. Nhân viên thân thiện. Phục vụ chu đáo. Dịch vụ tuyệt vời.,positive
Thái độ nhân viên không tốt. Phòng có mùi khó chịu.,negative
Phòng ốc đẹp. Đáng đồng tiền.,positive
Thái độ nhân viên rất tốt. Phục vụ chu đáo.,positive
Giá quá cao. Bữa sáng nghèo nàn. Không giống hình ảnh.,negative
Nhân viên thân thiện. Dịch vụ tuyệt vời.,positive
Phòng quá nhỏ. Nhân viên lạnh nhạt. Cực kỳ tệ.,negative
Phục vụ chu đáo. Tuyệt vời.,positive
Thiếu tiện nghi. Kém chất lượng. Phòng quá nhỏ. Thái độ nhân viên không tốt.,negative
Trang thiết bị hiện đại. Homestay sạch sẽ. Vị trí thuận tiện. Đáng đồng tiền.,positive
Phòng ốc đẹp. Chắc chắn sẽ quay lại. Ăn sáng ngon. Thái độ nhân viên rất tốt.,positive
Chắc chắn sẽ quay lại. Tuyệt vời. Sạch sẽ và tiện nghi. Phòng ốc đẹp.,positive
Homestay không có dịch vụ hỗ trợ đặt vé xe hơi.,negative
Thái độ nhân viên không tốt. Dịch vụ kém. Cực kỳ tệ.,negative
Dịch vụ kém. Rất thất vọng.,negative
Không đáng tiền. Khó chịu.,negative
Phòng quá nhỏ. Không quay lại lần sau. Cực kỳ tệ.,negative
Check-in chậm. Kém chất lượng.,negative
Khó chịu. Phòng quá nhỏ.,negative
Thái độ nhân viên rất tốt. Vị trí thuận tiện. Phục vụ chu đáo. Dịch vụ tuyệt vời.,positive
Rất thất vọng. Bữa sáng nghèo nàn. Phòng có mùi khó chịu.,negative
Phòng ốc đẹp. Dịch vụ tuyệt vời. Homestay sạch sẽ.,positive
Vị trí xa trung tâm. Bữa sáng nghèo nàn. Nhân viên lạnh nhạt.,negative
Không quay lại lần sau. Nhân viên lạnh nhạt. Khó chịu. Dịch vụ kém.,negative
Tuyệt vời. Đáng đồng tiền. Phòng ốc đẹp.,positive
Rất thất vọng. Dịch vụ kém. Thiếu tiện nghi. Bữa sáng nghèo nàn.,negative
Thiếu tiện nghi. Phòng quá nhỏ.,negative
Giá quá cao. Rất thất vọng. Thiếu tiện nghi. Check-in chậm.,negative
Tuyệt vời. Thái độ nhân viên rất tốt. Homestay sạch sẽ. Rất tốt.,positive
Thái độ nhân viên rất tốt. Dịch vụ tuyệt vời. Homestay sạch sẽ.,positive
Phòng bẩn. Kém chất lượng. Phòng có mùi khó chịu.,negative
Vị trí thuận tiện. Giá cả hợp lý. Ăn sáng ngon.,positive
Không quay lại lần sau. Phòng bẩn. Không giống hình ảnh.,negative
Bữa sáng nghèo nàn. Dịch vụ kém. Kém chất lượng.,negative
Không gian yên tĩnh. Nhân viên thân thiện. Dịch vụ tuyệt vời.,positive
Dịch vụ kém. Thiếu tiện nghi. Không đáng tiền. Phòng quá nhỏ.,negative
Thái độ nhân viên không tốt. Bữa sáng nghèo nàn. Giá quá cao. Cực kỳ tệ.,negative
Dịch vụ kém. Phòng bẩn. Giá quá cao. Phòng có mùi khó chịu.,negative
Phòng bẩn. Dịch vụ kém.,negative
Thiếu tiện nghi. Phòng bẩn. Phòng có mùi khó chịu. Giá quá cao.,negative
Thái độ nhân viên rất tốt. Nhân viên thân thiện. Homestay sạch sẽ. Phòng ốc đẹp.,positive
Rất hài lòng. Rất tốt. Chắc chắn sẽ quay lại.,positive
Phòng quá nhỏ. Check-in chậm. Phòng bẩn.,negative
Rất thất vọng. Dịch vụ kém. Không đáng tiền. Nhân viên lạnh nhạt.,negative
Dịch vụ tuyệt vời. Giá cả hợp lý. Sạch sẽ và tiện nghi.,positive
Không gian yên tĩnh. Nhân viên thân thiện. Rất tốt. Rất hài lòng.,positive
Phòng ốc đẹp. Homestay sạch sẽ.,positive
Thái độ nhân viên không tốt. Phòng bẩn. Rất thất vọng.,negative
Check-in chậm. Không giống hình ảnh. Dịch vụ kém. Phòng có mùi khó chịu.,negative
Cực kỳ tệ. Thái độ nhân viên không tốt.,negative
Ăn sáng ngon. Dịch vụ tuyệt vời.,positive
Cực kỳ tệ. Check-in chậm. Thái độ nhân viên không tốt.,negative
Khó chịu. Không giống hình ảnh.,negative
Thiếu tiện nghi. Giá quá cao. Không quay lại lần sau. Cực kỳ tệ.,negative
Dịch vụ kém. Thái độ nhân viên không tốt.,negative
Vị trí thuận tiện. Rất tốt. Dịch vụ tuyệt vời.,positive
Khó chịu. Phòng quá nhỏ. Không đáng tiền.,negative
Thái độ nhân viên không tốt. Phòng có mùi khó chịu. Check-in chậm. Khó chịu.,negative
Thái độ nhân viên không tốt. Cực kỳ tệ. Không đáng tiền.,negative
Phòng có mùi khó chịu. Không giống hình ảnh. Giá quá cao. Vị trí xa trung tâm.,negative
Thiếu tiện nghi. Nhân viên lạnh nhạt. Không giống hình ảnh. Phòng bẩn.,negative
Phòng bẩn. Nhân viên lạnh nhạt. Rất thất vọng. Thái độ nhân viên không tốt.,negative
Tuyệt vời. Dịch vụ tuyệt vời. Thái độ nhân viên rất tốt.,positive
Giá quá cao. Không giống hình ảnh. Check-in chậm. Không quay lại lần sau.,negative
Dịch vụ kém. Phòng bẩn.,negative
Dịch vụ kém. Không quay lại lần sau. Không giống hình ảnh. Nhân viên lạnh nhạt.,negative
Phòng ốc đẹp. Nhân viên thân thiện. Homestay sạch sẽ.,positive
Thiếu tiện nghi. Không quay lại lần sau.,negative
Giá cả hợp lý. Phục vụ chu đáo. Dịch vụ tuyệt vời. Sạch sẽ và tiện nghi.,positive
Tuyệt vời. Trang thiết bị hiện đại.,positive
Trang thiết bị hiện đại. Homestay sạch sẽ.,positive
Sạch sẽ và tiện nghi. Chắc chắn sẽ quay lại. Phòng ốc đẹp.,positive
Giá quá cao. Phòng có mùi khó chịu. Không giống hình ảnh.,negative
Khó chịu. Giá quá cao. Phòng bẩn. Phòng quá nhỏ.,negative
Sạch sẽ và tiện nghi. Check-in nhanh chóng. Rất tốt. Thái độ nhân viên rất tốt.,positive
Bữa sáng nghèo nàn. Check-in chậm. Phòng quá nhỏ.,negative
Bữa sáng nghèo nàn. Thái độ nhân viên không tốt.,negative
Homestay sạch sẽ. Check-in nhanh chóng. Nhân viên thân thiện.,positive
Chắc chắn sẽ quay lại. Rất tốt.,positive
Rất tốt. Không gian yên tĩnh.,positive
Phòng ốc đẹp. Thái độ nhân viên rất tốt. Vị trí thuận tiện.,positive
Giá quá cao. Phòng quá nhỏ. Không giống hình ảnh. Phòng bẩn.,negative
Giá quá cao. Vị trí xa trung tâm.,negative
Chắc chắn sẽ quay lại. Ăn sáng ngon.,positive
Ăn sáng ngon. Homestay sạch sẽ. Không gian yên tĩnh. Dịch vụ tuyệt vời.,positive
Nhân viên thân thiện. Rất hài lòng. Tuyệt vời.,positive
Phòng quá nhỏ. Vị trí xa trung tâm. Không quay lại lần sau.,negative
Không đáng tiền. Check-in chậm.,negative
Đáng đồng tiền. Check-in nhanh chóng. Không gian yên tĩnh. Vị trí thuận tiện.,positive
Phòng quá nhỏ. Khó chịu.,negative
Cực kỳ tệ. Phòng bẩn. Check-in chậm. Rất thất vọng.,negative
Vị trí xa trung tâm. Khó chịu.,negative
Nhân viên lạnh nhạt. Giá quá cao. Không giống hình ảnh.,negative
Không quay lại lần sau. Vị trí xa trung tâm. Phòng có mùi khó chịu. Không đáng tiền.,negative
Tuyệt vời. Check-in nhanh chóng. Đáng đồng tiền.,positive
Homestay sạch sẽ. Không gian yên tĩnh. Rất hài lòng. Đáng đồng tiền.,positive
Ăn sáng ngon. Phòng ốc đẹp.,positive
Check-in nhanh chóng. Nhân viên thân thiện. Ăn sáng ngon. Chắc chắn sẽ quay lại.,positive
Bữa sáng nghèo nàn. Nhân viên lạnh nhạt. Thiếu tiện nghi. Rất thất vọng.,negative
Vị trí xa trung tâm. Giá quá cao.,negative
Homestay không có tivi.,negative
Check-in chậm. Nhân viên lạnh nhạt. Cực kỳ tệ. Bữa sáng nghèo nàn.,negative
Thiếu tiện nghi. Check-in chậm. Dịch vụ kém.,negative
Phòng bẩn. Vị trí xa trung tâm.,negative
Phòng ốc đẹp. Rất tốt. Trang thiết bị hiện đại. Giá cả hợp lý.,positive
Tuyệt vời. Homestay sạch sẽ.,positive
Rất tốt. Sạch sẽ và tiện nghi.,positive
Đáng đồng tiền. Phòng ốc đẹp. Rất hài lòng. Ăn sáng ngon.,positive
Phòng quá nhỏ. Không quay lại lần sau.,negative
Ăn sáng ngon. Trang thiết bị hiện đại. Phục vụ chu đáo.,positive
Thái độ nhân viên rất tốt. Rất hài lòng. Giá cả hợp lý.,positive
Rất hài lòng. Không gian yên tĩnh. Thái độ nhân viên rất tốt.,positive
Ăn sáng ngon. Chắc chắn sẽ quay lại.,positive
Tuyệt vời. Trang thiết bị hiện đại. Rất hài lòng. Phòng ốc đẹp.,positive
Thái độ nhân viên không tốt. Cực kỳ tệ. Vị trí xa trung tâm.,negative
Đáng đồng tiền. Giá cả hợp lý. Sạch sẽ và tiện nghi. Rất hài lòng.,positive
Phòng bẩn. Không giống hình ảnh. Check-in chậm.,negative
Nhân viên lạnh nhạt. Thiếu tiện nghi. Giá quá cao. Phòng có mùi khó chịu.,negative
Phòng có mùi khó chịu. Khó chịu. Cực kỳ tệ.,negative
Dịch vụ tuyệt vời. Đáng đồng tiền.,positive
Không quay lại lần sau. Phòng quá nhỏ.,negative
Vị trí thuận tiện. Homestay sạch sẽ.,positive
Rất thất vọng. Bữa sáng nghèo nàn.,negative
Rất thất vọng. Cực kỳ tệ. Phòng có mùi khó chịu.,negative
Rất tốt. Rất hài lòng. Đáng đồng tiền.,positive
Thái độ nhân viên rất tốt. Dịch vụ tuyệt vời. Giá cả hợp lý.,positive
Nhân viên thân thiện. Tuyệt vời. Chắc chắn sẽ quay lại.,positive
Khó chịu. Không đáng tiền. Giá quá cao. Dịch vụ kém.,negative
Không gian yên tĩnh. Ăn sáng ngon. Rất hài lòng. Rất tốt.,positive
Phòng ốc đẹp. Chắc chắn sẽ quay lại. Homestay sạch sẽ.,positive
Rất thất vọng. Kém chất lượng.,negative
Phòng có mùi khó chịu. Không giống hình ảnh. Phòng quá nhỏ. Vị trí xa trung tâm.,negative
Ăn sáng ngon. Homestay sạch sẽ. Trang thiết bị hiện đại. Phòng ốc đẹp.,positive
Check-in chậm. Dịch vụ kém. Phòng quá nhỏ.,negative
Nhân viên lạnh nhạt. Không giống hình ảnh. Bữa sáng nghèo nàn.,negative
Trang thiết bị hiện đại. Giá cả hợp lý. Đáng đồng tiền.,positive
Thái độ nhân viên rất tốt. Phục vụ chu đáo. Tuyệt vời.,positive
Trang thiết bị hiện đại. Rất hài lòng. Homestay sạch sẽ.,positive
Check-in chậm. Khó chịu. Không giống hình ảnh. Phòng quá nhỏ.,negative
Rất tốt. Rất hài lòng. Homestay sạch sẽ. Phục vụ chu đáo.,positive
Sạch sẽ và tiện nghi. Đáng đồng tiền.,positive
Giá quá cao. Không quay lại lần sau.,negative
Check-in chậm. Không đáng tiền. Không quay lại lần sau.,negative
Nhân viên thân thiện. Phục vụ chu đáo. Dịch vụ tuyệt vời. Vị trí thuận tiện.,positive
Kém chất lượng. Bữa sáng nghèo nàn.,negative
Phòng ốc đẹp. Đáng đồng tiền.,positive
Thái độ nhân viên rất tốt. Tuyệt vời.,positive
Vị trí xa trung tâm. Phòng quá nhỏ.,negative
Check-in nhanh chóng. Homestay sạch sẽ. Rất tốt.,positive
Vị trí xa trung tâm. Thái độ nhân viên không tốt. Nhân viên lạnh nhạt. Phòng bẩn.,negative
Không gian yên tĩnh. Thái độ nhân viên rất tốt.,positive
Phục vụ chu đáo. Homestay sạch sẽ. Chắc chắn sẽ quay lại. Vị trí thuận tiện.,positive
Ăn sáng ngon. Trang thiết bị hiện đại. Nhân viên thân thiện. Homestay sạch sẽ.,positive
Check-in nhanh chóng. Rất tốt. Homestay sạch sẽ. Phục vụ chu đáo.,positive
Chắc chắn sẽ quay lại. Không gian yên tĩnh.,positive
Vị trí xa trung tâm. Thiếu tiện nghi.,negative
Đáng đồng tiền. Sạch sẽ và tiện nghi.,positive
Phòng có mùi khó chịu. Nhân viên lạnh nhạt.,negative
Chắc chắn sẽ quay lại. Giá cả hợp lý. Tuyệt vời.,positive
Khó chịu. Bữa sáng nghèo nàn.,negative
Phòng bẩn. Không đáng tiền. Thái độ nhân viên không tốt. Cực kỳ tệ.,negative
Ăn sáng ngon. Dịch vụ tuyệt vời.,positive
"Vị trí cực kỳ xa, khó di chuyển, giá cực kỳ cao.",negative
Phòng quá nhỏ. Phòng bẩn.,negative
Thái độ nhân viên không tốt. Khó chịu. Kém chất lượng. Không đáng tiền.,negative
Phòng có mùi khó chịu. Phòng quá nhỏ. Khó chịu. Không giống hình ảnh.,negative
Cực kỳ tệ. Không quay lại lần sau. Phòng bẩn.,negative
Thái độ nhân viên rất tốt. Phục vụ chu đáo. Homestay sạch sẽ. Tuyệt vời.,positive
Khó chịu. Phòng quá nhỏ. Giá quá cao.,negative
Check-in chậm. Cực kỳ tệ.,negative
Thiếu tiện nghi. Khó chịu.,negative
Phục vụ chu đáo. Rất tốt. Trang thiết bị hiện đại. Nhân viên thân thiện.,positive
Khó chịu. Giá quá cao. Nhân viên lạnh nhạt. Phòng có mùi khó chịu.,negative
Không quay lại lần sau. Khó chịu. Phòng bẩn. Phòng có mùi khó chịu.,negative
Ăn sáng ngon. Đáng đồng tiền.,positive
Chắc chắn sẽ quay lại. Dịch vụ tuyệt vời. Homestay sạch sẽ. Giá cả hợp lý.,positive
Thái độ nhân viên rất tốt. Rất hài lòng. Check-in nhanh chóng.,positive
Homestay sạch sẽ. Check-in nhanh chóng. Thái độ nhân viên rất tốt.,positive
Giá cả hợp lý. Dịch vụ tuyệt vời. Check-in nhanh chóng. Không gian yên tĩnh.,positive
Phục vụ chu đáo. Rất tốt. Vị trí thuận tiện.,positive
Kém chất lượng. Giá quá cao. Thiếu tiện nghi. Không giống hình ảnh.,negative
Homestay sạch sẽ. Dịch vụ tuyệt vời. Không gian yên tĩnh.,positive
Nhân viên lạnh nhạt. Không đáng tiền. Thái độ nhân viên không tốt. Không quay lại lần sau.,negative
Không đáng tiền. Dịch vụ kém.,negative
Chắc chắn sẽ quay lại. Thái độ nhân viên rất tốt.,positive
Không giống hình ảnh. Check-in chậm. Thiếu tiện nghi. Bữa sáng nghèo nàn.,negative
Nhân viên lạnh nhạt. Phòng có mùi khó chịu. Thái độ nhân viên không tốt.,negative
Phòng quá nhỏ. Phòng bẩn.,negative
Homestay sạch sẽ. Chắc chắn sẽ quay lại. Dịch vụ tuyệt vời.,positive
Homestay không có dịch vụ hỗ trợ đặt vé xe bus.,negative
Rất hài lòng. Dịch vụ tuyệt vời. Rất tốt. Vị trí thuận tiện.,positive
Thái độ nhân viên rất tốt. Phòng ốc đẹp. Trang thiết bị hiện đại.,positive
Khó chịu. Không quay lại lần sau.,negative
Khó chịu. Không giống hình ảnh. Nhân viên lạnh nhạt.,negative
Không quay lại lần sau. Giá quá cao.,negative
Thái độ nhân viên rất tốt. Đáng đồng tiền. Giá cả hợp lý.,positive
Phòng có mùi khó chịu. Vị trí xa trung tâm. Phòng quá nhỏ. Phòng bẩn.,negative
Đáng đồng tiền. Trang thiết bị hiện đại. Sạch sẽ và tiện nghi.,positive
Thái độ nhân viên rất tốt. Ăn sáng ngon.,positive
Không gian yên tĩnh. Rất hài lòng. Phòng ốc đẹp. Nhân viên thân thiện.,positive
Phòng quá nhỏ. Không giống hình ảnh. Check-in chậm. Nhân viên lạnh nhạt.,negative
Khó chịu. Giá quá cao. Không quay lại lần sau. Thái độ nhân viên không tốt.,negative
Tuyệt vời. Đáng đồng tiền.,positive
Không gian yên tĩnh. Rất hài lòng. Check-in nhanh chóng. Giá cả hợp lý.,positive
Bữa sáng nghèo nàn. Không đáng tiền. Giá quá cao. Check-in chậm.,negative
Không quay lại lần sau. Không giống hình ảnh. Nhân viên lạnh nhạt.,negative
Bữa sáng nghèo nàn. Dịch vụ kém.,negative
Tuyệt vời. Thái độ nhân viên rất tốt. Phục vụ chu đáo.,positive
Rất tốt. Thái độ nhân viên rất tốt.,positive
Check-in chậm. Bữa sáng nghèo nàn.,negative
Không gian yên tĩnh. Check-in nhanh chóng.,positive
Phục vụ chu đáo. Rất hài lòng.,positive
Thiếu tiện nghi. Nhân viên lạnh nhạt. Thái độ nhân viên không tốt.,negative
Giá quá cao. Thái độ nhân viên không tốt. Không giống hình ảnh.,negative
Phòng quá nhỏ. Phòng có mùi khó chịu. Không đáng tiền.,negative
Trang thiết bị hiện đại. Giá cả hợp lý. Phòng ốc đẹp.,positive
Giá quá cao. Bữa sáng nghèo nàn. Rất thất vọng. Không giống hình ảnh.,negative
Rất tốt. Nhân viên thân thiện. Giá cả hợp lý.,positive
Đáng đồng tiền. Tuyệt vời. Dịch vụ tuyệt vời.,positive
Phòng có mùi khó chịu. Không giống hình ảnh.,negative
Bữa sáng nghèo nàn. Khó chịu. Thái độ nhân viên không tốt. Phòng quá nhỏ.,negative
Nhân viên lạnh nhạt. Cực kỳ tệ.,negative
Cực kỳ tệ. Khó chịu. Không giống hình ảnh. Không quay lại lần sau.,negative
Phòng quá nhỏ. Rất thất vọng. Bữa sáng nghèo nàn. Dịch vụ kém.,negative
Phòng ốc đẹp. Ăn sáng ngon. Rất tốt. Dịch vụ tuyệt vời.,positive
Phòng có mùi khó chịu. Không đáng tiền. Phòng bẩn.,negative
Vị trí thuận tiện. Trang thiết bị hiện đại. Chắc chắn sẽ quay lại.,positive
Rất thất vọng. Vị trí xa trung tâm. Không quay lại lần sau.,negative
Homestay sạch sẽ. Dịch vụ tuyệt vời. Rất tốt. Không gian yên tĩnh.,positive
Vị trí thuận tiện. Không gian yên tĩnh.,positive
Phòng quá nhỏ. Check-in chậm. Thái độ nhân viên không tốt.,negative
Phòng quá nhỏ. Bữa sáng nghèo nàn. Khó chịu.,negative
Cực kỳ tệ. Không đáng tiền.,negative
Thiếu tiện nghi. Bữa sáng nghèo nàn.,negative
Phòng ốc đẹp. Thái độ nhân viên rất tốt. Chắc chắn sẽ quay lại.,positive
Phục vụ chu đáo. Tuyệt vời.,positive
Rất thất vọng. Giá quá cao. Không đáng tiền.,negative
Tuyệt vời. Vị trí thuận tiện. Đáng đồng tiền. Thái độ nhân viên rất tốt.,positive
Phòng ốc đẹp. Chắc chắn sẽ quay lại.,positive
Rất thất vọng. Kém chất lượng.,negative
Vị trí xa trung tâm. Kém chất lượng. Không giống hình ảnh. Khó chịu.,negative
Không quay lại lần sau. Kém chất lượng.,negative
Chắc chắn sẽ quay lại. Đáng đồng tiền. Phòng ốc đẹp. Check-in nhanh chóng.,positive
Dịch vụ kém. Phòng bẩn.,negative
Phòng ốc đẹp. Phục vụ chu đáo.,positive
Không đáng tiền. Cực kỳ tệ.,negative
Giá cả hợp lý. Trang thiết bị hiện đại. Rất hài lòng.,positive
Phòng ốc đẹp. Vị trí thuận tiện.,positive
Nhân viên thân thiện. Đáng đồng tiền. Dịch vụ tuyệt vời. Phục vụ chu đáo.,positive
Kém chất lượng. Không giống hình ảnh. Khó chịu.,negative
Rất tốt. Sạch sẽ và tiện nghi.,positive
Cực kỳ tệ. Kém chất lượng. Dịch vụ kém.,negative
Rất hài lòng. Rất tốt.,positive
Dịch vụ tuyệt vời. Đáng đồng tiền. Homestay sạch sẽ. Nhân viên thân thiện.,positive
Sạch sẽ và tiện nghi. Thái độ nhân viên rất tốt. Đáng đồng tiền. Giá cả hợp lý.,positive
Homestay không có dịch vụ hỗ trợ đặt vé xe khách thường.,negative
Homestay rộng nhưng bẩn.,negative
Trang thiết bị hiện đại. Check-in nhanh chóng. Đáng đồng tiền.,positive
Rất hài lòng. Dịch vụ tuyệt vời. Ăn sáng ngon.,positive
Khó chịu. Thiếu tiện nghi. Giá quá cao.,negative
Homestay sạch sẽ. Check-in nhanh chóng. Sạch sẽ và tiện nghi.,positive
Thái độ nhân viên không tốt. Dịch vụ kém.,negative
Vị trí thuận tiện. Sạch sẽ và tiện nghi. Phục vụ chu đáo. Dịch vụ tuyệt vời.,positive
Nhân viên lạnh nhạt. Giá quá cao.,negative
Kém chất lượng. Thái độ nhân viên không tốt.,negative
